1585008000-1585612800:0.3069,0.1511,0.1273,0.3585,0.0329,0.0127,0.0106,0.0000,0.4844,0.7806,0.3448,0.6852,0.2390,0.0333,0.0103,0.0000,0.5913,0.1197,0.7861,0.4013,0.6855,0.2377,0.0589,0.0000,1.0051,1.0920,0.4445,0.9319,0.4840,0.5127,0.0658,0.2367,0.9212,0.8642,1.0507,0.5725,0.8190,0.5979,0.0676,0.2516,0.1464,0.0417,0.1320,0.2867,0.1558,0.4894,0.1443,0.0000,0.0591,0.0089,0.0795,0.0853,0.1559,0.0673,0.3120,0.2783,0.0583,0.0000,0.0395,0.0176,0.0257,0.1329,0.0173,0.1977
1585094400-1585699200:0.3842,0.1214,0.0492,0.2957,0.0447,0.0127,0.0044,0.4350,0.6309,0.8354,0.1876,0.5158,0.2434,0.0237,0.0102,0.8699,0.6005,0.1574,0.9088,0.5179,0.8221,0.2676,0.0522,0.5478,0.7166,0.9572,0.3414,0.9071,0.6452,0.4024,0.0500,0.9367,0.2935,0.9443,1.0852,0.6348,1.0830,0.3728,0.0591,1.0811,0.0809,0.0000,0.1531,0.2370,0.2424,0.4266,0.2211,0.4914,0.0000,0.0236,0.0633,0.0662,0.1610,0.0487,0.2976,0.4950,0.0221,0.0000,0.0301,0.0440,0.0677,0.0810,0.0244,0.1522
1585180800-1585785600:0.4410,0.4433,0.0490,0.2986,0.0457,0.0093,0.0035,0.1232,0.5001,0.7974,0.1974,0.5338,0.2313,0.0276,0.0074,0.2464,0.6023,0.3485,0.9166,0.5503,0.8884,0.2482,0.0253,0.1546,0.5233,0.6854,0.3279,0.9894,0.7676,0.3527,0.0454,0.2637,0.5192,1.2002,1.0762,0.6897,1.1977,0.3095,0.0366,0.3039,0.0000,0.0000,0.1344,0.2408,0.2715,0.4394,0.3110,0.1389,0.0000,0.0000,0.0610,0.0661,0.1704,0.0803,0.2871,0.1398,0.0000,0.0000,0.0288,0.0373,0.0755,0.0861,0.0139,0.5917
1585267200-1585872000:0.4366,0.0996,0.0502,0.2562,0.0647,0.0215,0.1191,0.1051,0.1676,0.3786,0.2168,0.8135,0.4333,0.0397,0.0276,0.2102,0.3349,0.7443,0.9153,0.5121,0.8033,0.2486,0.1027,0.1325,0.6236,0.4356,0.3492,1.0803,0.7222,0.3707,0.0747,0.1924,0.7418,1.4481,1.0525,0.7613,1.0534,0.3656,0.1270,0.2209,0.0000,0.0751,0.1407,0.2167,0.2159,0.4756,0.2703,0.1412,0.0000,0.0559,0.0657,0.0687,0.1528,0.0799,0.3084,0.1208,0.0000,0.0037,0.0286,0.0302,0.0779,0.0897,0.0185,0.4188
1585353600-1585958400:0.3942,0.0562,0.0511,0.2560,0.0710,0.0199,0.1087,0.0825,0.3017,0.5761,0.2199,0.8355,0.4668,0.0437,0.0282,0.1649,0.2337,0.4279,0.9230,0.5050,0.7949,0.2406,0.1155,0.1038,0.8190,0.3620,0.3534,1.1018,0.7535,0.3689,0.0918,0.1551,0.7000,0.7852,1.0626,0.7808,1.0686,0.3590,0.1145,0.1781,0.0000,0.3608,0.1453,0.2153,0.2080,0.4898,0.2539,0.1117,0.0000,0.0360,0.0667,0.0718,0.1477,0.0846,0.2996,0.1197,0.0000,0.3209,0.0282,0.0295,0.0719,0.0809,0.0190,0.3235
1585440000-1586044800:0.3721,0.2300,0.0527,0.2554,0.0679,0.0199,0.0940,0.0791,0.3091,0.4581,0.2231,0.8315,0.4667,0.0437,0.0398,0.1582,0.2358,0.3649,0.9254,0.5228,0.7852,0.2392,0.1163,0.0998,0.7690,0.7070,0.3579,1.1077,0.7622,0.4088,0.0899,0.2834,0.6463,0.6695,1.0609,0.7940,1.0628,0.4027,0.1270,0.2668,0.0000,0.2395,0.1435,0.2250,0.2174,0.5063,0.2558,0.1079,0.0000,0.0344,0.0662,0.0797,0.1517,0.0824,0.2913,0.1151,0.0000,0.2008,0.0279,0.0319,0.0771,0.0819,0.0167,0.3124
1585526400-1586131200:0.4056,0.2976,0.0520,0.2567,0.0703,0.0215,0.0876,0.0423,0.3501,0.5440,0.2233,0.8335,0.4782,0.0518,0.0422,0.0000,0.2678,0.3346,0.9305,0.5187,0.7899,0.2201,0.1195,0.0027,0.7390,0.8438,0.3568,1.1026,0.7598,0.4021,0.1568,0.0416,0.6080,0.6028,1.0588,0.7865,1.0476,0.3766,0.1946,0.0442,0.0000,0.2237,0.1448,0.2232,0.2142,0.4852,0.3050,0.0275,0.0000,0.1342,0.0679,0.0721,0.1512,0.1024,0.2869,0.0304,0.0000,0.1731,0.0283,0.0284,0.0761,0.0920,0.0167,0.3713
1585612800-1586217600:0.3650,0.2826,0.0509,0.2531,0.0655,0.0219,0.0847,0.0423,0.4658,0.5382,0.2213,0.8301,0.4740,0.0520,0.0445,0.0000,0.3792,0.3299,0.9296,0.5061,0.7906,0.2196,0.1166,0.0032,0.8438,0.8114,0.3574,1.0757,0.7335,0.3978,0.1550,0.0405,0.5980,0.5895,1.0557,0.7578,1.0303,0.3745,0.1967,0.0431,0.0557,0.2395,0.1418,0.2170,0.2056,0.4831,0.3024,0.0273,0.0000,0.1204,0.0681,0.0706,0.1481,0.1009,0.2865,0.0309,0.0000,0.1875,0.0282,0.0277,0.0731,0.0939,0.0174,0.3613
1585699200-1586304000:0.3296,0.2472,0.0486,0.2510,0.0685,0.0306,0.0952,0.0412,0.4315,0.5076,0.2263,0.8821,0.5143,0.0643,0.0462,0.0000,0.3471,0.3134,0.9192,0.4902,0.7963,0.2105,0.1274,0.0034,0.7361,0.7397,0.3331,1.0857,0.7415,0.3951,0.1717,0.0389,0.5100,0.6116,1.0472,0.7628,1.0171,0.4020,0.2078,0.0491,0.0529,0.2304,0.1286,0.2024,0.1942,0.4962,0.2556,0.0255,0.0683,0.0962,0.0670,0.0656,0.1380,0.0894,0.3107,0.0569,0.0000,0.1757,0.0268,0.0276,0.0789,0.0977,0.0194,0.3708
1585785600-1586390400:0.3556,0.2238,0.0471,0.2397,0.0700,0.0434,0.1125,0.0685,0.4881,0.4537,0.2333,0.9088,0.5523,0.0706,0.0556,0.0000,0.2237,0.2778,0.9189,0.4917,0.8015,0.2009,0.1465,0.0045,0.8395,0.7020,0.3460,1.0784,0.7494,0.4040,0.1834,0.0634,0.4604,0.5142,1.0459,0.7746,1.0281,0.4086,0.2285,0.0802,0.0534,0.1805,0.1397,0.1955,0.1842,0.4933,0.2128,0.0412,0.0718,0.0763,0.0696,0.0698,0.1332,0.0864,0.3452,0.0954,0.0000,0.1264,0.0281,0.0284,0.0783,0.0980,0.0243,0.1368
