,CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote,,
5781,Hungary,HUN,20200311,20200315,C1: Universities closing,2,1,"On 11 March 2020, Hungary’s government declared a state of emergency and closed university campuses. Archive link doesn’t work consistently, so including original for reference too:  https://www.bloomberg.com/news/articles/2020-03-11/hungary-declares-state-of-emergency-shuts-universities-on-virus  https://web.archive.org/web/20201122172803/https://www.bloomberg.com/tosv2.html?vid=&uuid=136e1b70-2ce8-11eb-84ec-d53afa254d66&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wMy0xMS9odW5nYXJ5LWRlY2xhcmVzLXN0YXRlLW9mLWVtZXJnZW5jeS1zaHV0cy11bml2ZXJzaXRpZXMtb24tdmlydXM=    UNESCO data confirms a partial closure between March 11 and March 15, before shifting to a complete closure:  https://web.archive.org/web/20201122173125/https://en.unesco.org/sites/default/files/covid_impact_education.csv",,
5782,Hungary,HUN,20200311,20200618,C3: Cancel public events,2,1,"Website of the Hungarian government  https://www.kormany.hu/en/prime-minister-s-office/news/government-to-introduce-state-of-national-crisis  He informed members of the press that the government is banning the organisation of indoor events with an audience of more than 100 persons and outdoor events with an audience of more than 500 persons. In the case of these events, it is the organisers’ responsibility to cancel them.",,
5783,Hungary,HUN,20200311,20200618,C4: Restrictions on gatherings,1,1,"Hungary declared a national state of emergency on 11 March, ordering the shutting of universities, and banning indoor gatherings of more than 100 and outdoor events of more than 500. Unclear whether private gatherings such as funerals are banned.  /web/20200426130235/https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/  ",,
5784,Hungary,HUN,20200311,20200327,C7: Restrictions on internal movement,1,1,"The government may designate potential contaminants not only for hospital quarantine but also for home quarantine measures to be enforced by the police, even for asymptomatic cases; https://koronavirus.gov.hu/cikkek/rendkivuli-kormanyintezkedesek-hatarellenorzes-beutazasi-tilalom-hatosagi-hazi-karanten",,
5785,Hungary,HUN,20200311,20200326,C6: Stay at home requirements,1,1,"Also on the 12th of March, all events were prohibited, and restaurants and other shops could only stay open until 3 pm. The vulnerable age group was seriously asked to stay at home, while care for those in need was promised to be organised by the municipalities.   https://web.archive.org/web/20200506124213/https://www.covid19healthsystem.org/countries/hungary/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section",,
5787,Hungary,HUN,20200316,20200601,C1: School closing,3,1,"After 15 March 2020, the Education Office published that all school programs and celebrations should be withdrawn.  https://web.archive.org/web/20201122172557/https://koronavirus.gov.hu/cikkek/emmi-minden-iskolai-programot-unnepseget-mondjanak-le-az-intezmenyek    UNESCO data confirms a partial closure between March 11 and March 15, before shifting to a complete closure on 16 March:  https://web.archive.org/web/20201122173125/https://en.unesco.org/sites/default/files/covid_impact_education.csv",,
5788,Hungary,HUN,20200316,20200517,C2: Nonessential shops closing,2,0,"Government closes all nonessential shops and leisure facilities, but does not extend this to other workplaces such as industry or services; https://koronavirus.gov.hu/cikkek/kormany-kihirdette-az-ujabb-rendkivuli-es-csoportosulasokat-korlatozo-intezkedeseket, https://web.archive.org/web/20200408121934/https://www.reuters.com/article/health-coronavirus-hungary-measures/hungary-to-shut-borders-to-international-passengers-to-fight-coronavirus-pm-idUSS8N2A603W",,
5790,Hungary,HUN,20200316,20200503,C8: International travel controls,4,,Hungary closes all international borders, https://koronavirus.gov.hu/cikkek/orban-viktor-az-elet-az-elkovetkezendo-honapokban-nem-olyan-lesz-mint-amilyennek-megszoktuk, http://abouthungary.hu/blog/ministerprsident-orban-ungarn-hat-neue-manahmen-eingefuhrt-um-die-verbreitung-des-coronavirus-zu-verlangsamen/?fbclid=IwAR0Fnt89eBJzRBrw-HNzkEhUPVLjbUOdmWNdUfon7SGoaoyn9jxMTNw-oKQ
5792,Hungary,HUN,20200327,20200503,C6: Stay at home requirements,2,1,"From the 27th of March, a curfew restriction came into force, which means that for a two-week period people are only allowed to leave their residences for work or basic needs, as well as they have to keep 1.5-meter distance in public places.   https://web.archive.org/web/20200506124213/https://www.covid19healthsystem.org/countries/hungary/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section",,
5794,Hungary,HUN,20200327,20200503,C7: Restrictions on internal movement,2,1,"Restrictions on movement are being imposed in relation to the entire territory of the country for the period between 28 March and 11 April. For two weeks, citizens will only be allowed to leave their homes and places of residence for the purpose of going to work or meeting other essential needs, Prime Minister Viktor Orbán announced on Friday on Kossuth Radio’s programme ‘Good morning, Hungary’. The decree on restrictions on movement lists the essential reasons for which persons may leave their homes or places of residence. The government made every effort to define them in such a way that “life should remain liveable”, he said.  https://web.archive.org/web/20200408121033/http://abouthungary.hu/news-in-brief/coronavirus-update-restrictions-on-movement-now-in-force/  /web/20200426125954/https://www.kormany.hu/en/the-prime-minister/news/restrictions-on-movement-to-be-imposed-in-hungary  ",,
